PPDA_H_Int1,PPDA_H_Int2,PPDA_H_Int3,PPDA_H_Int4,PPDA_H_Int5,PPDA_H_Int6,PPDA_A_Int1,PPDA_A_Int2,PPDA_A_Int3,PPDA_A_Int4,PPDA_A_Int5,PPDA_A_Int6,home team,away team,Relative quality,xG_H_Int1,xG_H_Int2,xG_H_Int3,xG_H_Int4,xG_H_Int5,xG_H_Int6,xG_A_Int1,xG_A_Int2,xG_A_Int3,xG_A_Int4,xG_A_Int5,xG_A_Int6,PPDA_H_1stHalf,PPDA_H_2ndHalf,PPDA_A_1stHalf,PPDA_A_2ndHalf,xG_H_1stHalf,xG_H_2ndHalf,xG_A_1stHalf,xG_A_2ndHalf,xG_H_Total,xG_A_Total,PPDA_H_Total,PPDA_A_Total,MatchSuspicionType,xG_Diff_Total,xG_Diff_1stHalf,xG_Diff_2ndHalf,PPDA_H_Change,PPDA_A_Change,HomePressingDrop,AwayPressingDrop,xG_H_Change,xG_A_Change,HomeAttackingDrop,AwayAttackingDrop,xG_H_Early,xG_A_Early,xG_H_Late,xG_A_Late,xG_H_Mid,xG_A_Mid,PPDA_H_Early,PPDA_A_Early,PPDA_H_Mid,PPDA_A_Mid,PPDA_H_Late,PPDA_A_Late,xG_H_to_PPDA,xG_A_to_PPDA,xG_H_TotalChange,xG_A_TotalChange,PPDA_H_TotalChange,PPDA_A_TotalChange
16.5,11.0,11.25,5.67,6.0,7.7,11.0,28.0,13.14,37.0,13.0,2.86,unidentified,unidentified,home team stronger,0.16,0.41,0.07,0.01,0.0,0.04,0.41,0.0,0.04,0.31,0.0,0.08,12.92,6.46,17.38,17.62,0.64,0.05,0.45,0.39,0.69,0.84,9.69,17.5,unidentified,-0.15,0.19,-0.34,-6.46,0.24,0,1,-0.59,-0.06,1,1,0.17,0.72,0.11,0.12,0.41,0.0,11.08,24.0,8.5,20.5,9.48,8.0,0.07,0.05,0.7,1.11,13.36,89.86
9.75,5.0,36.0,4.11,9.8,8.43,7.86,10.0,17.0,7.4,6.75,4.1,unidentified,unidentified,equal strength teams,0.0,0.21,0.65,0.05,0.18,0.05,0.1,0.06,0.0,0.09,0.09,0.18,16.92,7.45,11.62,6.08,0.86,0.28,0.16,0.36,1.14,0.52,12.18,8.85,unidentified,0.62,0.7,-0.08,-9.47,-5.54,0,0,-0.58,0.2,1,0,0.05,0.19,0.7,0.18,0.39,0.15,6.93,7.63,7.4,8.38,22.22,10.55,0.09,0.06,1.51,0.28,74.7,22.04
9.5,5.44,5.14,4.38,3.5,3.43,23.0,6.0,21.5,13.33,11.5,5.0,unidentified,unidentified,home team stronger,0.04,0.29,0.06,0.1,0.77,0.47,0.23,0.25,0.24,0.11,0.0,0.01,6.69,3.77,16.83,9.94,0.39,1.34,0.72,0.12,1.73,0.84,5.23,13.39,unidentified,0.89,-0.33,1.22,-2.92,-6.89,0,0,0.95,-0.6,0,1,0.14,0.34,0.53,0.25,1.06,0.25,6.94,18.16,4.47,8.75,4.28,13.25,0.33,0.06,1.49,0.28,6.07,49.0
8.33,6.17,7.83,17.0,5.0,10.2,5.14,4.8,12.0,3.09,2.63,8.5,unidentified,unidentified,away team stronger,0.09,0.16,0.13,0.1,0.05,0.4,0.0,0.0,0.11,0.21,0.01,0.02,7.44,10.73,7.31,4.74,0.38,0.55,0.11,0.24,0.93,0.35,9.09,6.03,unidentified,0.58,0.27,0.31,3.29,-2.57,1,0,0.17,0.13,0,0,0.19,0.21,0.53,0.13,0.21,0.01,12.66,4.12,5.58,3.72,9.02,10.25,0.1,0.06,0.53,0.42,30.19,22.78
6.2,3.0,13.0,6.5,13.0,5.13,11.67,4.75,7.0,8.0,5.5,4.6,unidentified,unidentified,home team stronger,0.02,0.06,0.33,0.0,0.0,0.36,0.0,0.15,0.0,0.12,0.03,0.16,7.4,8.21,7.81,6.03,0.41,0.36,0.15,0.31,0.77,0.46,7.81,6.92,unidentified,0.31,0.26,0.05,0.81,-1.78,1,0,-0.05,0.16,1,0,0.02,0.12,0.69,0.16,0.06,0.18,6.35,9.84,8.0,5.12,9.06,5.8,0.1,0.07,1.0,0.64,34.07,13.57
4.75,5.25,6.4,10.5,5.86,24.5,6.0,4.33,6.0,6.0,2.89,8.0,unidentified,unidentified,equal strength teams,0.1,0.07,0.32,0.95,0.0,0.06,0.33,0.0,0.39,0.09,0.73,0.1,5.47,13.62,5.44,5.63,0.49,1.01,0.72,0.92,1.5,1.64,9.54,5.54,unidentified,-0.14,-0.23,0.09,8.15,0.19,1,1,0.52,0.2,0,0,1.05,0.42,0.38,0.49,0.07,0.73,7.62,6.0,5.56,3.61,15.45,7.0,0.16,0.3,1.92,2.29,29.03,11.56
4.17,10.0,9.4,8.0,5.17,8.5,15.0,5.8,19.0,6.0,7.67,5.8,unidentified,unidentified,away team stronger,0.2,0.0,0.0,0.01,0.01,0.22,0.04,0.01,0.39,0.0,0.12,0.09,7.86,7.22,13.27,6.49,0.2,0.24,0.44,0.21,0.44,0.65,7.54,9.88,unidentified,-0.21,-0.24,0.03,-0.64,-6.78,0,0,0.04,-0.23,0,1,0.21,0.04,0.22,0.48,0.01,0.13,6.08,10.5,7.58,6.74,8.95,12.4,0.06,0.07,0.42,0.95,13.99,38.94
4.67,21.0,9.67,3.67,7.0,4.11,23.67,9.43,15.0,6.43,14.5,18.67,unidentified,unidentified,home team stronger,0.43,0.3,1.58,0.03,0.14,0.63,0.0,0.04,0.0,0.02,0.0,0.08,11.78,4.93,16.03,13.2,2.31,0.8,0.04,0.1,3.11,0.14,8.35,14.62,unidentified,2.97,2.27,0.7,-6.85,-2.83,0,0,-1.51,0.06,1,0,0.46,0.02,2.21,0.08,0.44,0.04,4.17,15.05,14.0,11.96,6.89,16.84,0.37,0.01,3.56,0.2,39.88,40.62
14.33,6.25,4.57,6.5,2.5,1.42,8.89,6.13,12.67,11.33,7.75,6.13,unidentified,unidentified,home team stronger,0.02,0.11,0.35,0.14,0.12,0.18,0.04,0.52,0.0,0.23,0.25,0.03,8.38,3.47,9.23,8.4,0.48,0.44,0.56,0.51,0.92,1.07,5.93,8.82,unidentified,-0.15,-0.08,-0.07,-4.91,-0.83,0,0,-0.04,-0.05,1,1,0.16,0.27,0.53,0.03,0.23,0.77,10.42,10.11,4.38,6.94,3.0,9.4,0.16,0.12,0.62,1.47,16.77,15.84
8.33,9.6,4.0,6.33,8.75,5.44,14.0,27.5,22.0,9.5,7.8,10.25,unidentified,unidentified,home team stronger,0.03,0.15,1.26,0.06,0.72,0.3,0.13,0.09,0.45,0.28,0.39,0.23,7.31,6.84,21.17,9.18,1.44,1.08,0.67,0.9,2.52,1.57,7.07,15.18,unidentified,0.95,0.77,0.18,-0.47,-11.99,0,0,-0.36,0.23,1,0,0.09,0.41,1.56,0.68,0.87,0.48,7.33,11.75,9.18,17.65,4.72,16.12,0.36,0.1,3.51,0.84,14.93,35.65
